day,temperature,humidity,wind_speed,weather
03/11/2023,34.3,76.6,22.6,Rainy
08/09/2023,33.9,66.3,21.3,Rainy
11/12/2023,29.4,84.2,7.5,Rainy
16/09/2023,27.2,30.0,14.3,Rainy
06/09/2023,40.8,82.1,17.9,Cloudy
14/08/2023,27.7,79.4,12.4,Rainy
31/10/2023,25.7,59.8,18.0,Sunny
20/05/2024,30.4,32.5,10.9,Sunny
22/01/2024,26.8,87.3,20.7,Rainy
13/10/2023,34.6,30.9,20.1,Cloudy
26/04/2024,36.0,65.7,29.4,Cloudy
24/09/2023,26.4,22.9,14.5,Sunny
07/02/2024,39.3,54.3,6.8,Rainy
13/08/2023,37.6,41.0,6.1,Sunny
13/01/2024,39.2,73.4,4.6,Rainy
17/06/2023,35.9,55.1,1.3,Rainy
22/05/2024,35.6,31.3,16.5,Sunny
08/08/2023,35.6,23.8,22.5,Sunny
30/03/2024,28.2,23.1,13.5,Cloudy
08/06/2024,29.4,60.6,12.8,Rainy
04/07/2023,42.7,72.1,23.3,Cloudy
02/05/2024,40.4,45.0,7.3,Rainy
31/08/2023,27.6,36.0,28.3,Rainy
28/10/2023,34.5,25.9,27.2,Rainy
21/03/2024,44.8,56.7,25.0,Sunny
21/07/2023,36.7,34.8,22.7,Sunny
25/02/2024,37.8,60.6,23.5,Rainy
04/03/2024,37.7,84.5,24.2,Rainy
08/03/2024,30.7,62.8,17.9,Sunny
07/11/2023,43.6,40.5,5.2,Sunny
20/11/2023,32.8,88.2,25.9,Cloudy
21/08/2023,41.2,88.5,16.7,Rainy
22/03/2024,41.5,57.8,27.3,Sunny
18/01/2024,25.8,69.3,26.9,Sunny
09/01/2024,34.3,67.7,13.3,Sunny
27/01/2024,33.4,53.1,12.4,Rainy
12/10/2023,43.4,75.9,20.6,Sunny
05/07/2023,41.3,45.9,17.5,Rainy
10/06/2023,36.9,35.1,12.5,Cloudy
16/02/2024,38.2,66.5,0.5,Rainy
31/05/2024,36.4,51.2,11.8,Rainy
14/03/2024,27.6,89.2,8.1,Rainy
01/08/2023,25.0,59.5,10.3,Sunny
18/10/2023,43.7,89.7,27.7,Cloudy
07/07/2023,31.3,26.4,27.6,Sunny
12/12/2023,34.5,25.2,5.3,Rainy
31/03/2024,40.7,51.9,17.7,Sunny
08/03/2024,40.7,50.3,16.3,Sunny
08/08/2023,33.0,81.4,3.6,Rainy
18/05/2024,35.5,30.8,25.6,Cloudy
29/04/2024,31.2,77.4,7.0,Sunny
18/09/2023,26.9,79.5,29.4,Cloudy
08/06/2024,36.3,73.8,18.6,Rainy
